[2026-05-03 08:45:23] 28 | 🟢28 💤0 ⚠️0
[2026-05-03 08:46:16] 28 | 🟢28 💤0 ⚠️0
[2026-05-03 09:07:25] 28 | 🟢28 💤0 ⚠️0
[2026-05-03 09:08:57] 28 | 🟢28 💤0 ⚠️0
[2026-05-03 10:07:58] 28 | 🟢28 💤0 ⚠️0
[2026-05-03 13:18:04] 27 | 🟢27 💤0 ⚠️0
[2026-05-03 15:51:37] 24 | 🟢24 💤0 ⚠️0
[2026-05-03 19:04:40] 24 | 🟢24 💤0 ⚠️0
[2026-05-03 21:47:19] 23 | 🟢5 💤18 ⚠️0
[2026-05-04 03:32:04] 24 | 🟢8 💤16 ⚠️0
[2026-05-04 08:33:58] 23 | 🟢7 💤4 ⚠️12
[2026-05-04 11:07:30] 13 | 🟢8 💤3 ⚠️2
[2026-05-04 14:09:23] 14 | 🟢11 💤1 ⚠️2
[2026-05-04 16:49:39] 12 | 🟢6 💤6 ⚠️0
[2026-05-04 19:44:44] 12 | 🟢6 💤5 ⚠️1
